respondent_id,position,age_group,years_experience,level:reading,level:writing,level:listening,level:speaking,method_effectiveness:online_courses,method_effectiveness:private_lessons,method_effectiveness:textbooks,method_effectiveness:watching_movies,method_effectiveness:audio,method_effectiveness:speaking_club,method_effectiveness:reading_books,method_effectiveness:work_tasks,motives:online_exercises,motives:speaking_club,motives:watching_movies,motives:reading_books,motives:work_tasks,motives:gamified_learning,motives:personalised_feedback,enjoyed_school_classes,felt_pressure,grown_since_native_talk,perfection_is_key_to_career,i_know_all_i_need,english_is_not_so_important,learning_is_demaning,need_english_for_work_docs,curious_about_english_colleagues,learning_is_exhausting,speaking_is_key_to_career,need_to_feel_progress,like_colleagues,glad_to_feel_progress,must_learn,was_ok_with_native,was_ok_with_non_native,english_is_not_applicable,value_original_movies,value_original_books,learning_is_fun,want_to_improve,curious_about_english_culture,curious_about_english_system,extra_methods,obstacles
11,HR / L&D / Talent / Recruitment Specialist,25-34,3-5 років,4,3,4,3,3,5,4,4,5,5,4,5,4,5,5,3,4,4,5,1,2,5.0,3,4,1,2,4,3,1,4,3,4.0,5,4,4.0,4,2,1,2,3,5,3,3,,
12,Product / Project Manager,25-34,6-10 років,4,3,3,3,5,5,3,3,2,5,4,4,5,4,3,2,3,5,5,5,1,5.0,5,4,1,2,5,5,1,5,4,5.0,5,4,4.0,4,3,2,2,4,5,5,2,,"не те, щоб припиняла, я постійно десь із нею стикаюсь і так було завжди з універу, тому припиняти не припиняла, але на курси я ходжу не завжди"
13,IT Manager / Team Lead / C-Level,35-44,11-20 років,4,3,4,3,2,5,4,3,3,4,3,4,3,4,3,4,4,3,4,5,2,5.0,5,4,5,4,5,3,3,5,4,3.0,5,5,5.0,5,1,4,3,3,5,3,3,-,Так ы не раз. Брак часу.
14,QA / Testing Specialist,25-34,3-5 років,3,3,3,3,2,4,3,4,4,5,4,5,3,3,5,4,4,5,5,4,2,4.0,4,3,4,4,4,4,3,4,5,4.0,5,4,3.0,3,2,4,3,2,5,4,4,Пробую різні методики щоб було цікавіше: і пісні і фільми і різні вправи,
15,Software Engineer / Developer,25-34,3-5 років,3,2,2,2,2,3,4,2,2,5,3,4,1,2,4,3,4,3,4,3,3,2.0,3,2,1,4,3,2,3,2,2,,4,3,3.0,2,4,4,4,2,3,3,2,,
16,IT Manager / Team Lead / C-Level,25-34,6-10 років,4,4,4,4,1,4,1,3,2,3,4,2,1,2,3,3,3,3,4,4,2,5.0,3,4,2,3,5,4,2,4,3,3.0,4,3,5.0,5,2,2,2,3,4,5,5,Читання статей та книг в комбінації з подальшим регулярним вивченням незнайомих слів ,Відсутність потреби і як наслідок мотивації 
17,Product / Project Manager,18-24,3-5 років,3,2,3,3,2,5,4,4,3,4,4,5,4,5,4,2,3,4,5,4,3,4.0,5,3,5,3,4,4,3,5,5,4.0,5,4,2.0,4,1,3,3,3,5,5,4,,"Не відчувала прогресу, а часу та засилб витрачала багато, тому треба перетерпіти цей період або спробувати знайти новий метод по вивченню - змінити викладача, методику, тематику занять "
18,QA / Testing Specialist,45-54,3-5 років,5,5,5,4,2,5,5,5,5,5,5,5,3,5,5,5,4,2,4,5,4,5.0,5,4,2,4,5,5,1,5,5,4.0,5,5,5.0,5,1,3,2,3,2,5,1,,
19,Software Engineer / Developer,45-54,менше ніж 1 рік,4,4,3,3,3,4,4,5,4,5,5,3,3,4,4,4,2,3,4,3,2,4.0,4,4,2,3,1,3,1,3,2,,5,4,4.0,4,4,4,4,5,5,4,3,,
20,Software Engineer / Developer,25-34,3-5 років,4,3,4,3,3,5,2,5,5,5,4,5,3,3,4,4,4,1,4,4,1,,5,4,2,3,5,5,1,2,2,5.0,4,4,,4,2,4,4,4,4,4,2,,"Так, коли вивчала тільки для себе і вона ще не потрібна була для роботи"
21,Software Engineer / Developer,25-34,3-5 років,3,3,3,2,5,1,1,1,2,1,2,1,3,3,3,3,1,4,3,5,4,2.0,4,1,1,3,3,3,2,3,1,1.0,5,1,1.0,1,4,1,3,4,4,4,1,,
22,HR / L&D / Talent / Recruitment Specialist,25-34,1-2 роки,4,3,4,4,1,5,3,5,5,5,4,5,2,4,5,4,3,5,5,3,2,5.0,5,3,1,4,4,4,2,4,4,,5,5,4.0,5,4,1,3,4,5,5,5,,
23,Content writer/UI/UX writer,18-24,3-5 років,5,5,5,2,1,5,4,4,3,5,4,4,4,4,5,5,4,3,5,4,2,5.0,5,2,1,2,5,5,1,1,5,,5,5,3.0,5,2,2,2,4,5,5,5,"Занурення в мовне середовище 😅
Або використання інтерактивних вправ де поєднється використання декількох навичок водночас (напр. читання + письмо + аудіювання)","Так, коли інша іноземна мова була більш пріоритетною за англійську на той момент"
24,BizDev/ Sales,25-34,6-10 років,4,5,4,4,4,5,4,5,5,5,4,5,5,4,5,2,5,5,5,5,2,5.0,5,3,1,3,5,5,1,5,3,5.0,5,4,5.0,5,1,4,3,5,5,5,5,,
25,Copywriter,25-34,3-5 років,5,5,4,4,2,5,2,3,3,5,5,5,4,4,4,4,4,4,5,4,1,5.0,5,5,1,3,5,5,2,3,5,,5,5,4.0,5,1,3,3,5,5,5,1,,
26,QA / Testing Specialist,25-34,6-10 років,5,4,4,4,3,3,3,4,4,3,4,5,2,3,4,4,5,4,4,4,5,5.0,3,5,5,4,5,4,3,4,3,4.0,5,5,4.0,4,1,3,3,3,4,3,4,"за допомогою англійської вивчати інші мови (наприклад, в Дуо для вивчення французької як нейтів обрати англійську)","Ставало нецікаво, вкладені зусилля не давали рівнозначного результату, тиск ззовні був неадекватно сильним, спричиняючи супротив"
27,Software Engineer / Developer,18-24,менше ніж 1 рік,5,4,5,3,2,4,5,5,5,3,5,5,5,2,5,5,5,3,4,4,1,4.0,5,5,1,1,5,5,1,5,2,,5,3,5.0,5,1,1,1,5,5,5,3,,"Не припиняла, але погіршились знання і втратилась мотивація в початковій школі через вчителя з поганими методиками навчання (запам'ятовування текстів і розказування їх напам'ять тощо), але покращилось, коли його замінили"
28,QA / Testing Specialist,25-34,6-10 років,3,2,2,2,2,5,2,3,3,5,4,5,5,3,4,4,4,5,5,4,2,4.0,4,2,1,3,4,5,3,3,5,5.0,5,5,3.0,3,2,5,5,3,5,5,5,,"Так, ставало скучно і я не бачила прогресу"
29,Content/Marketing,18-24,1-2 роки,4,3,4,3,2,4,3,3,3,5,4,5,4,5,4,2,4,3,5,4,1,5.0,5,4,1,3,1,5,1,5,5,5.0,5,5,4.0,4,3,3,3,4,5,4,4,"Коли неочікувано потрапляєш на вечірку, де всі говорять англійською, думаєш х100 швидше (навіть якщо трішки пʼяненький)👀",
30,PR,35-44,6-10 років,3,3,3,3,2,5,2,2,2,4,3,4,2,4,2,2,3,3,5,4,2,5.0,4,4,1,3,4,5,3,4,5,5.0,5,5,4.0,3,2,5,3,3,5,5,5,Індивідуальні регулярні зустрічі з нейтівами,
31,Software Engineer / Developer,45-54,1-2 роки,2,2,1,1,2,2,1,2,1,2,2,2,5,3,5,3,2,4,5,3,3,,5,2,1,3,5,3,3,4,3,,4,5,,3,3,2,2,3,4,2,2,,
32,Software Engineer / Developer,45-54,понад 21 рік,3,2,3,2,3,3,3,2,1,5,5,5,2,4,2,4,4,3,5,4,1,4.0,3,3,3,3,5,2,3,3,3,3.0,5,3,3.0,4,1,5,3,3,5,3,3,"Ні, використовую загально відоме. Але хочу спробувати додаток з АІ","Да, бо не було стимулу та саме де її використовувати"
33,Наразі у ЗСУ,45-54,11-20 років,3,3,2,3,4,5,4,5,3,5,4,5,4,4,4,3,4,4,4,2,3,4.0,4,5,2,2,4,4,2,4,3,4.0,5,4,5.0,5,2,3,3,3,5,4,3,Їхати у мовне середовище ,Треба було вчити іншу мову
34,Software Engineer / Developer,25-34,3-5 років,5,4,4,4,2,5,4,3,3,4,3,3,3,2,4,4,4,5,5,5,4,5.0,5,4,1,3,5,4,3,5,4,4.0,5,4,4.0,4,1,4,4,4,5,5,4,,"Завантаженість на работі чи в універі, лінь"
35,UI/UX or Product Designer,18-24,менше ніж 1 рік,5,4,3,2,3,5,4,4,3,2,4,5,4,3,4,4,4,4,4,5,1,5.0,5,3,1,5,3,5,2,5,5,,5,5,2.0,2,5,4,2,4,5,5,1,,закінчується натхнення 
36,Software Engineer / Developer,45-54,понад 21 рік,5,4,3,4,4,5,4,5,5,5,5,5,4,3,4,5,5,4,4,4,1,3.0,3,3,4,3,5,4,1,2,3,,4,4,,5,2,4,4,5,5,3,5,,
37,Software Engineer / Developer,25-34,6-10 років,4,4,3,3,3,4,5,3,2,3,4,5,2,3,3,4,4,4,4,1,1,5.0,4,4,2,3,4,3,3,3,4,3.0,4,4,3.0,4,4,3,3,3,4,3,3,,"Припиняв, так як не мав чіткої потреби у цьому, заняття проходили скучно"
38,UI/UX or Product Designer,35-44,6-10 років,3,3,3,2,1,2,2,3,2,2,2,3,4,3,4,4,4,4,4,4,1,3.0,4,3,3,3,2,2,1,3,5,3.0,5,5,3.0,3,2,2,2,5,5,5,4,"Дуже ефективно: 
-Вчити когось, створювати навчальний контент. Поки складаєш матеріали і пояснюєш, сам згадуєш і практикуєш
-Погрузити себе в англомовне середовище, де просто немає іншого варіанту як використовувати англійську
-Ведення щоденника, блогу англійською, писати нотатки
-Хоббі англійською
-Зустрічі з друзями англійською
-Ігри на кожен день. Люблю ДаНі грати або Корова) 
-Вчити іншу мову, де вчитель англійською пояснює. Я пробувала в  італійську  так зайти. Було цікаво:) Вчиш нове слово італійською, а питаєш англійською про правила використання, наприклад. Спадає напруга щось говорити англійською, згадуєш слова, думаєш англійською як рідною. 

Неефективно
-10 застосунків одразу, складно системно так вивчати
- Групи класичні. Мені завжди час шкода 
- Загальна ІТ англійська. Як дизайнеру мені не заходить вчити про токени з програмістами. В житті мало цього спілкування, в інтереси не попадає.. І вчитись стає нудно тому. А от small talk чи кризові комунікації- корисні теми.. Тут вибірково 
-Вчити слова без контексту 
-Робити 2 вправи на правило по новій граматиці. Начебто і зробив, а через тиждень забув. Добре якщо тренажери і до автоматизму, чи повторювати через інтервали","- Школа змінила стратегію. Поміняли контент на платформі. Стало більше АІ і менше фідбеку, вправ. Більше стало схоже на іграшку
- Не підійшов вчитель
- Не було балансу навичок. Нудна граматика або слова без їх використання
- Гейміфікація більше ніж якість навчання. Я зрозуміла, що щось вчу, щоб побити когось у рейтингу. А звідти вчила як попало, але скоріше
- Нецікавий контент (теми). Це прям каторга, змушуєш себе щось робити
- Не відчувала результату. На місці товчешся 
- Не ходила на англійську на роботі, бо не хотіла обговорювати особисте з колегами. Некомфортно 
- Страх говорити з носіями"
39,HR / L&D / Talent / Recruitment Specialist,25-34,6-10 років,4,3,3,3,3,5,4,3,2,5,4,3,4,3,3,2,3,3,4,2,5,3.0,5,3,2,5,4,3,5,3,5,4.0,5,5,4.0,4,2,5,3,3,5,5,3,,"Припиняла декілька раз,  зазвичай причина була що не вистачало часу чи сил для виконання домашніх завдань. А без самостійної роботи результат не такий очевидний. Інший момент що насправді в роботі часто використовуєш одні й ті ж фрази, що доволі шаблонно і теж не сприяє розвутку. "
40,IT Manager / Team Lead / C-Level,25-34,6-10 років,5,4,4,4,3,5,3,3,3,4,4,5,4,4,2,5,5,4,5,4,1,5.0,5,4,5,3,5,5,2,5,2,5.0,5,5,5.0,5,1,3,2,4,5,2,2,,Припиняв через відсутність часу та спад мотивації через доволі довге вивчення з носієм
41,HR / L&D / Talent / Recruitment Specialist,25-34,3-5 років,4,2,3,2,2,3,3,2,3,3,3,3,4,4,5,5,5,5,5,1,2,3.0,5,3,5,5,4,5,1,5,5,5.0,5,5,5.0,1,1,5,5,5,5,5,5,,
42,IT Manager / Team Lead / C-Level,35-44,3-5 років,4,4,3,2,2,4,3,3,2,3,2,2,4,3,4,1,3,4,4,3,3,3.0,5,2,1,4,4,2,3,4,4,2.0,3,4,3.0,3,2,2,2,2,4,3,2,,
43,Software Engineer / Developer,35-44,понад 21 рік,5,3,5,5,3,4,5,4,3,3,4,5,4,4,4,4,5,4,5,3,2,5.0,3,5,3,1,5,5,3,3,1,3.0,5,5,5.0,5,3,1,3,5,5,5,5,,
44,Support / IT Helpdesk / Technical Support,25-34,1-2 роки,2,1,1,1,3,5,1,2,1,4,1,1,5,4,3,2,3,5,5,2,1,,5,1,1,3,4,5,2,5,3,,5,4,,2,3,3,3,4,5,3,4,,Не було потреби
45,Support / IT Helpdesk / Technical Support,35-44,11-20 років,3,2,2,1,2,5,4,4,4,2,4,5,3,4,5,3,5,2,5,3,4,,5,3,1,5,4,3,3,5,5,4.0,5,4,,5,3,4,4,3,5,5,5,,1) Не було мети. 2) не бачила прогресу
46,QA / Testing Specialist,25-34,3-5 років,4,4,4,3,3,4,3,4,4,5,4,5,3,4,5,4,3,2,5,5,3,5.0,4,4,1,3,5,4,1,4,4,4.0,5,5,5.0,5,3,2,2,4,4,5,5,,
47,Software Engineer / Developer,35-44,6-10 років,3,3,3,3,2,3,4,4,4,4,4,5,4,3,4,3,4,4,4,2,3,2.0,5,3,1,4,4,3,4,4,3,4.0,4,4,2.0,3,2,2,2,1,4,2,3,,
48,Software Engineer / Developer,35-44,11-20 років,4,4,3,4,1,4,4,2,2,4,2,3,5,4,3,2,4,5,5,3,4,4.0,4,4,2,3,3,4,1,2,5,3.0,5,3,4.0,5,3,4,3,4,5,5,3,"Повинна бути постійна практика використання вивченого матеріалу, інакше все швидко забувається, і те що використовується постійно в роботі, те краще закріплюється.","Припиняла, частіше за все тоді коли в роботі не була потрібна у розмовах чи листуваннях. І жалкував що припиняла, тому що без практики швидко забувається і навички губляться."
49,Product / Project Manager,25-34,11-20 років,4,4,5,4,2,5,4,4,5,3,4,4,3,5,5,4,4,3,4,4,1,5.0,5,3,1,3,2,5,1,5,4,4.0,5,4,5.0,4,1,1,2,3,5,5,4,,
50,DevOps / Infrastructure Engineer,45-54,понад 21 рік,4,4,4,4,3,5,4,3,4,5,4,4,3,3,3,4,4,3,4,5,1,4.0,4,4,1,3,5,3,1,3,3,5.0,4,4,4.0,4,2,3,4,4,4,3,4,,
51,Software Engineer / Developer,25-34,6-10 років,4,3,3,3,1,5,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,5.0,4,3,2,3,5,5,3,5,3,5.0,4,4,3.0,4,3,2,2,3,4,5,4,короткі відео з опитуванням слів різного рівня мені здалися доволі ефективними,
52,HR / L&D / Talent / Recruitment Specialist,35-44,6-10 років,5,4,4,4,2,5,2,5,5,5,5,5,3,5,4,4,4,3,4,2,4,5.0,5,4,2,2,4,4,2,3,3,4.0,5,4,5.0,5,3,2,2,3,4,4,3,,
53,HR / L&D / Talent / Recruitment Specialist,35-44,3-5 років,4,3,3,4,2,5,3,4,3,5,2,4,4,4,4,3,3,4,4,5,1,5.0,5,3,1,4,4,3,2,5,5,,5,5,4.0,5,1,3,3,3,5,3,3,-,
54,Business / Systems Analyst,35-44,11-20 років,3,3,2,2,1,5,3,3,3,5,3,3,5,5,3,3,5,5,5,5,1,5.0,5,1,1,5,5,5,3,3,5,5.0,5,5,5.0,5,1,3,3,5,5,5,5,В моєму випадку працює лише практика реального спілкування.,Так припиняв бо був дурним.
55,Software Engineer / Developer,35-44,6-10 років,4,3,5,3,2,5,4,4,4,4,4,5,4,3,4,4,4,5,5,2,2,5.0,5,4,1,2,5,5,2,5,5,5.0,5,5,4.0,4,1,1,2,4,5,5,5,,
56,Accountant,35-44,6-10 років,3,3,2,2,3,5,3,3,3,3,3,2,5,5,4,4,3,5,5,1,1,4.0,4,3,1,4,3,5,1,3,4,,5,5,4.0,4,3,4,1,5,5,5,4,Подкасти,Мені потрібна була відпустка 
57,Product / Project Manager,35-44,6-10 років,4,4,4,4,2,2,2,2,2,2,2,3,3,4,5,4,5,3,4,5,1,3.0,5,5,1,3,5,5,3,4,3,3.0,5,3,4.0,1,1,2,2,4,4,5,3,,
58,Software Engineer / Developer,25-34,11-20 років,4,1,2,2,1,5,3,2,2,4,5,4,2,1,3,3,5,1,4,1,4,5.0,3,2,4,5,5,1,5,2,4,3.0,5,1,3.0,4,1,4,2,1,4,1,1,Preparations to English exams like IELTS/CELPIP,"I finished one course and was moved onto next one. I didn’t like either the new teacher, or new classmates (they didn’t like me too, I think). "
59,Data / AI Specialist,35-44,6-10 років,4,3,4,3,3,5,2,4,4,4,4,5,4,3,5,4,4,4,5,4,2,5.0,4,3,1,3,4,3,3,4,5,3.0,4,3,3.0,3,1,4,3,2,5,3,2,,Я занималась в группе и тратила на занятие больше времени чем получала пользу
60,QA / Testing Specialist,35-44,1-2 роки,3,3,3,3,2,4,5,2,3,4,3,5,4,4,3,3,4,3,4,4,4,,4,3,1,4,4,3,2,4,5,2.0,5,5,2.0,3,3,3,4,4,5,5,4,,
61,Growth Marketing,25-34,6-10 років,5,5,5,5,3,5,3,4,4,5,4,5,4,3,5,4,3,3,5,5,3,5.0,5,5,1,2,5,5,2,5,3,5.0,5,4,5.0,5,1,1,1,4,4,5,5,"Ефективні - мовне середовище
Неефективні - концентрація лише на одному з навичок (читання, слухання, граматика)",Я нею живу
62,Маркетинг,25-34,3-5 років,4,4,3,5,1,5,4,3,3,3,3,4,2,4,1,1,4,2,5,5,3,4.0,4,5,1,2,5,3,1,1,1,4.0,5,3,4.0,4,2,3,4,5,5,5,2,,
63,IT Manager / Team Lead / C-Level,35-44,11-20 років,5,4,4,3,2,5,1,4,2,3,4,5,2,2,4,4,4,3,4,3,1,5.0,5,4,1,5,4,4,3,4,4,,5,5,4.0,4,3,3,3,3,3,3,3,"Переїхати в англомовне оточення, практикувати кожен день. Все інше для галочки і ти можеш в більшості тільки підтримувати свій рівень. При заняттях регулярних з викладачем - можна покращувати потроху рівень і. відточувати граматіку","фінансова сторона, зовнішня потреба зникла і практичне використання теж не потрібне в буденному житті"
64,Program Manager,35-44,11-20 років,4,4,4,4,1,3,1,3,3,2,2,2,1,3,4,4,4,1,1,2,2,5.0,5,5,1,2,5,4,1,5,1,4.0,1,3,5.0,5,1,1,1,1,3,3,1,,
65,HR / L&D / Talent / Recruitment Specialist,25-34,3-5 років,5,4,3,3,3,4,2,4,4,5,4,5,4,4,4,2,4,5,5,2,3,,4,3,2,3,2,4,2,3,4,,5,4,,5,3,3,3,4,5,4,3,,
66,DevOps / Infrastructure Engineer,35-44,6-10 років,4,4,3,3,3,5,3,3,1,4,3,4,3,4,3,3,4,3,4,4,1,4.0,2,4,4,2,2,3,2,2,2,4.0,4,4,4.0,4,2,3,3,3,4,2,2,,
67,Software Engineer / Developer,35-44,6-10 років,5,4,5,4,4,5,4,2,2,1,5,5,5,1,3,5,5,5,5,2,1,5.0,5,4,1,4,5,5,2,5,5,5.0,5,5,4.0,4,1,1,1,5,5,5,5,,
68,HR / L&D / Talent / Recruitment Specialist,35-44,6-10 років,2,2,2,2,2,4,4,4,4,4,4,5,4,4,3,3,4,4,3,2,2,5.0,4,4,4,3,2,3,2,3,3,4.0,4,4,4.0,4,1,2,3,4,4,3,3,,
69,IT Manager / Team Lead / C-Level,45-54,11-20 років,4,3,2,2,2,3,2,3,2,2,3,2,3,4,4,3,3,1,5,4,2,,3,4,4,5,4,5,1,5,5,,5,4,,4,5,4,3,5,5,5,5,,Через високе робоче навантаження та на той момент часу відсутність прямої потреби
70,Software Engineer / Developer,35-44,6-10 років,5,5,4,4,3,5,5,4,3,4,5,5,4,5,4,4,4,5,4,5,1,5.0,5,4,1,3,5,5,1,5,1,5.0,5,5,5.0,5,1,4,4,5,5,5,4,,
71,Software Engineer / Developer,25-34,3-5 років,4,3,4,4,3,5,3,2,2,4,2,3,3,4,4,4,3,3,5,2,3,4.0,4,4,2,3,5,3,2,4,3,4.0,5,4,4.0,4,2,3,3,3,4,3,4,,
72,Software Engineer / Developer,25-34,11-20 років,5,3,4,3,1,4,5,2,1,1,5,5,2,1,5,4,4,3,5,1,5,5.0,4,4,2,5,5,3,4,5,3,2.0,4,5,5.0,5,1,2,2,2,4,4,3,"Читання художньої літератури найбільш ефективний спосіб для мене збільшити словник, так відрефлексувати стилістику мовлення, ідіоми, граматику, тощо.",
73,HR / L&D / Talent / Recruitment Specialist,35-44,3-5 років,4,2,4,4,1,3,1,3,1,1,1,4,1,4,1,1,3,5,5,2,1,4.0,2,1,2,4,4,1,5,1,4,5.0,5,5,3.0,4,3,4,4,1,5,1,1,,из-за преподавателя и смені приоритетов
74,Software Engineer / Developer,18-24,6-10 років,5,4,5,3,1,2,5,5,4,2,5,2,1,4,5,5,3,1,5,1,1,3.0,1,1,1,1,3,1,1,1,1,3.0,5,1,2.0,2,4,1,1,5,5,5,5,"twitter ефективний
етимологічний словник ефективний",
75,Finance,25-34,3-5 років,5,5,5,4,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,3,4.0,5,4,1,4,3,3,1,4,5,3.0,5,4,4.0,4,4,1,3,4,5,5,5,,
76,HR / L&D / Talent / Recruitment Specialist,35-44,3-5 років,4,3,3,3,3,5,4,4,4,5,4,5,4,4,5,4,4,3,5,5,3,5.0,4,4,2,4,4,5,3,4,4,4.0,4,5,4.0,3,2,2,2,3,5,5,3,ENG program ,Не було потреби в роботі 
77,Software Engineer / Developer,45-54,понад 21 рік,5,5,5,5,3,3,3,4,4,5,5,5,3,3,4,4,4,1,4,1,1,5.0,3,4,5,4,5,3,3,4,5,5.0,4,5,5.0,5,1,2,5,3,5,5,5,повсякденне спілкування,
78,DevOps / Infrastructure Engineer,35-44,11-20 років,3,3,3,3,2,5,4,5,5,5,3,5,2,3,5,4,5,2,4,5,3,4.0,5,3,1,5,5,3,2,5,4,4.0,5,4,4.0,4,1,3,4,5,5,3,5,,
79,IT Manager / Team Lead / C-Level,25-34,11-20 років,5,4,5,4,3,3,4,4,3,3,4,3,3,4,5,5,4,2,3,4,3,2.0,3,5,2,4,5,4,3,4,3,4.0,4,3,4.0,3,2,1,1,3,4,4,2,,
80,Software Engineer / Developer,18-24,3-5 років,4,4,5,5,1,4,3,5,4,4,5,5,2,4,5,5,4,3,4,2,1,3.0,5,5,1,2,5,3,2,5,3,3.0,5,4,5.0,5,1,1,4,3,3,4,2,"Схоже, на вже згадане, але вирішив уточнити - перегляд відео/фільмів с субтитрами (англ. звук та англ. субтитри). І читаєш і слухаєш одночасно)

Крім того вважаю непоганим встановлювати собі англійську мову як основну, де можливо (наприклад на телефоні). Це не дозволить вивчати ""нове"" але додає відчуття англомовного оточення)",
